No.,Name,Type 1,Type 2,HP,Strength,Max Strength,Dexterity,Max Dexterity,Vitality,Max Vitalty,Special,Max Special,Insight,Max Insight,Ability 1,Ability 2,Hidden Ability,Event Abilities,Unevolved?,Has a form?,Recommended Rank,Gender Type
#558,Crustle,Bug,Rock,4,3,6,2,4,3,7,2,4,2,5,Sturdy,Shell Armor,Weak Armor,,,,Amateur,
#559,Scraggy,Dark,Fighting,3,2,5,2,4,2,5,1,3,2,5,Shed Skin,Moxie,Intimidate,,Yes,,Beginner,
#560,Scrafty,Dark,Fighting,4,2,5,2,4,3,6,2,4,3,6,Shed Skin,Moxie,Intimidate,,,,Amateur,
#561,Sigilyph,Psychic,Flying,4,2,4,3,6,2,5,3,6,2,5,Wonder Skin,Magic Guard,Tinted Lens,,,,Ace,
#562,Yamask,Ghost,,3,1,3,1,3,2,5,2,4,2,4,Mummy,,,,Yes,,Amateur,
#562G,Galarian Yamask,Ground,Ghost,3,2,4,1,3,2,5,1,3,2,4,Wandering Spirit,,,,Yes,,Amateur,
#563,Cofagrigus,Ghost,,4,2,4,1,3,4,8,3,6,3,6,Mummy,,,,,,Pro,
#564,Tirtouga,Water,Rock,3,2,5,1,3,3,6,2,4,2,4,Solid Rock,Sturdy,Swift Swim,,Yes,,Amateur,
#565,Carracosta,Water,Rock,4,3,6,1,3,3,7,2,5,2,4,Solid Rock,Sturdy,Swift Swim,,,,Ace,
#566,Archen,Rock,Flying,3,3,6,2,5,2,4,2,5,2,4,Defeatish,,,,Yes,,Amateur,
#567,Archeops,Rock,Flying,4,3,7,3,6,2,4,3,6,2,4,Defeatish,,,,,,Ace,
#568,Trubbish,Poison,,3,2,4,2,4,2,4,1,3,2,4,Stench,Sticky Hold,Aftermath,,Yes,,Beginner,
#569,Garbodor,Poison,,4,3,6,2,5,2,5,2,4,2,5,Stench,Weak Armor,Aftermath,,,,Amateur,
#570,Zorua,Dark,,3,2,4,2,4,1,3,2,5,1,3,Illusion,,,,Yes,,Beginner,
#571,Zoroark,Dark,,4,3,6,3,6,2,4,3,7,2,4,Illusion,,,,,Yes,Amateur,
#572,Minccino,Normal,,3,2,4,2,5,1,3,1,3,1,3,Cute Charm,Technician,Skill Link,,Yes,,Beginner,
#573,Cinccino,Normal,,4,3,6,3,6,2,4,2,4,2,4,Cute Charm,Technician,Skill Link,,,,Amateur,
#574,Gothita,Psychic,,3,1,3,2,4,2,4,2,4,2,4,Frisk,Competitive,Shadow Tag,,Yes,,Starter,
#575,Gothorita,Psychic,,4,2,4,2,4,2,5,2,5,2,5,Frisk,Competitive,Shadow Tag,,Yes,,Amateur,
#576,Gothitelle,Psychic,,5,2,4,2,4,3,6,3,6,3,6,Frisk,Competitive,Shadow Tag,,,Yes,Ace,
#577,Solosis,Psychic,,3,1,3,1,3,1,3,3,6,2,4,Overcoat,Magic Guard,Regenerator,,Yes,,Beginner,
#578,Duosion,Psychic,,4,1,3,1,3,2,4,3,7,2,4,Overcoat,Magic Guard,Regenerator,,Yes,,Amateur,
#579,Reuniclus,Psychic,,6,2,4,1,3,2,5,3,7,2,5,Overcoat,Magic Guard,Regenerator,,,,Ace,
#580,Ducklett,Water,Flying,3,1,3,2,4,2,4,1,3,2,4,Keen Eye,Big Pecks,Hydration,,Yes,,Beginner,
#581,Swanna,Water,Flying,4,2,5,3,6,2,5,2,5,2,4,Keen Eye,Big Pecks,Hydration,,,,Amateur,
#582,Vanillite,Ice,,3,2,4,1,3,2,4,2,4,2,4,Ice Body,Snow Cloak,Weak Armor,,Yes,,Beginner,
#583,Vanillish,Ice,,4,2,4,1,3,2,4,2,5,2,5,Ice Body,Snow Cloak,Weak Armor,,Yes,,Amateur,
#584,Vanilluxe,Ice,,5,3,6,2,5,2,5,3,6,3,6,Ice Body,Snow Warning,Weak Armor,,,,Amateur,
#585,Deerling,Normal,Grass,3,2,4,2,5,2,4,1,3,2,4,Chlorophyll,Sap Sipper,Serene Grace,,Yes,,Starter,
#586,Sawsbuck,Normal,Grass,4,3,6,3,6,2,5,2,4,2,5,Chlorophyll,Sap Sipper,Serene Grace,,,,Amateur,
#587,Emolga,Electric,Flying,4,2,5,3,6,2,4,2,5,2,4,Static,,Motor Drive,,,,Beginner,
#588,Karrablast,Bug,,3,2,5,2,4,2,4,1,3,2,4,Swarm,Shed Skin,No Guard,,Yes,,Beginner,
#589,Escavalier,Bug,Steel,4,3,7,1,3,3,6,2,4,3,6,Swarm,Shell Armor,Overcoat,,,,Amateur,
#590,Foongus,Grass,Poison,3,2,4,1,2,2,4,2,4,2,4,Effect Spore,,Regenerator,,Yes,,Beginner,
#591,Amoonguss,Grass,Poison,4,2,5,1,3,2,5,2,5,2,5,Effect Spore,,Regenerator,,,,Amateur,
#592,Frillish,Water,Ghost,4,1,3,1,3,2,4,2,4,2,5,Water Absorb,Cursed Body,Damp,,Yes,,Amateur,
#593,Jellicent,Water,Ghost,5,2,4,2,4,2,5,2,5,3,6,Water Absorb,Cursed Body,Damp,,,,Ace,
#594,Alomomola,Water,,8,2,5,2,4,2,5,1,3,2,4,Healer,Hydration,Regenerator,,,,Amateur,
#595,Joltik,Bug,Electric,3,2,4,2,4,2,4,2,4,2,4,Compound Eyes,Unnerve,Swarm,,Yes,,Starter,
#596,Galvantula,Bug,Electric,4,2,5,2,5,2,4,3,6,2,4,Compound Eyes,Unnerve,Swarm,,,,Amateur,
#597,Ferroseed,Grass,Steel,3,2,4,1,2,2,5,1,3,2,5,Iron Barbs,,,,Yes,,Beginner,
#598,Ferrothorn,Grass,Steel,4,3,6,1,3,3,7,2,4,3,6,Iron Barbs,,Anticipation,,,,Amateur,
#599,Klink,Steel,,3,2,4,1,3,2,5,2,4,2,4,Plus,Minus,Clear Body,,Yes,,Beginner,N
#600,Klang,Steel,,4,2,5,2,4,3,6,2,5,2,5,Plus,Minus,Clear Body,,Yes,,Amateur,N
#601,Klinklang,Steel,,5,3,6,2,5,3,6,2,5,2,5,Plus,Minus,Clear Body,,,,Ace,N
#602,Tynamo,Electric,,3,2,4,1,3,2,4,2,4,1,3,Levitate,,,,Yes,,Starter,
#603,Eelektrik,Electric,,4,2,5,1,3,2,5,2,5,2,5,Levitate,,,,Yes,,Beginner,
#604,Eelektross,Electric,,5,3,6,2,4,2,5,3,6,2,5,Levitate,,,,,,Amateur,
#605,Elgyem,Psychic,,3,2,4,1,3,2,4,2,5,2,4,Telepathy,Synchronize,Analytic,,Yes,,Amateur,
#606,Beheeyem,Psychic,,4,2,5,1,3,2,5,3,7,3,6,Telepathy,Synchronize,Analytic,,,,Amateur,
#607,Litwick,Ghost,Fire,3,1,3,1,3,2,4,2,4,2,4,Flash Fire,Flame Body,Infiltrator,,Yes,,Beginner,
#608,Lampent,Ghost,Fire,4,1,3,2,4,2,4,3,6,2,4,Flash Fire,Flame Body,Infiltrator,,Yes,,Amateur,
#609,Chandelure,Ghost,Fire,5,2,4,2,4,2,5,4,8,2,5,Flash Fire,Flame Body,Infiltrator,,,,Pro,
#610,Axew,Dragon,,3,2,5,2,4,2,4,1,3,1,3,Rivalry,Mold Breaker,Unnerve,,Yes,,Amateur,
#611,Fraxure,Dragon,,4,3,6,2,4,2,5,1,3,2,4,Rivalry,Mold Breaker,Unnerve,,Yes,,Ace,
#612,Haxorus,Dragon,,5,4,8,3,6,2,5,2,4,2,5,Rivalry,Mold Breaker,Unnerve,,,,Pro,
#613,Cubchoo,Ice,,3,2,5,1,3,1,3,2,4,1,3,Snow Cloak,Slush Rush,Rattled,,Yes,,Beginner,
#614,Beartic,Ice,,4,3,6,2,4,2,5,2,5,2,5,Snow Cloak,Slush Rush,Swift Swim,,,,Ace,
#615,Cryogonal,Ice,,4,2,4,3,6,1,3,3,6,3,7,Levitate,,,,,,Starter,N
#616,Shelmet,Bug,,3,1,3,1,3,2,5,1,3,2,4,Hydration,Shell Armor,Overcoat,,Yes,,Beginner,
#617,Accelgor,Bug,,4,2,5,4,8,1,3,3,6,2,4,Hydration,Sticky Hold,Unburden,,,,Amateur,
#618,Stunfisk,Ground,Electric,5,2,4,1,3,2,5,2,5,3,6,Static,Limber,Sand Veil,,,Yes,Beginner,
#618G,Galarian Stunfisk,Ground,Steel,4,2,5,1,3,3,6,2,4,2,5,Mimicry,,,,,,Beginner,
#619,Mienfoo,Fighting,,3,2,5,2,4,2,4,2,4,2,4,Inner Focus,Regnerator,Reckless,,Yes,,Beginner,
#620,Mienshao,Fighting,,4,3,7,3,6,2,4,3,6,2,4,Inner Focus,Regnerator,Reckless,,,,Amateur,
#621,Druddigon,Dragon,,4,3,7,2,5,2,4,2,4,2,5,Rough Skin,Sheer Force,Mold Breaker,,,,Pro,
#622,Golett,Ground,Ghost,3,2,5,1,3,2,4,1,3,2,5,Iron Fist,Klutz,No Guard,,Yes,,Amateur,N
#623,Golurk,Ground,Ghost,4,3,7,2,4,2,5,2,4,2,5,Iron Fist,Klutz,No Guard,,,,Pro,N
#624,Pawniard,Dark,Steel,3,2,5,2,4,2,5,1,3,1,3,Defiant,Inner Focus,Pressure,,Yes,,Amateur,
#625,Bisharp,Dark,Steel,4,3,7,2,5,3,6,2,4,2,5,Defiant,Inner Focus,Pressure,,,Yes,Ace,
#626,Bouffalant,Normal,,4,3,6,2,4,3,6,1,3,3,6,Reckless,Sap Sipper,Soundproof,,,,Amateur,
#627,Rufflet,Normal,Flying,3,2,5,2,4,2,4,1,3,2,4,Keen Eye,Sheer Force,Hustle,,Yes,,Amateur,M
#628,Braviary,Normal,Flying,5,3,7,2,5,2,5,2,4,2,5,Keen Eye,Sheer Force,Defiant,,,,Ace,M
#629,Vullaby,Dark,Flying,3,2,4,2,4,2,5,2,4,2,5,Big Pecks,Overcoat,Weak Armor,,Yes,,Beginner,F
#630,Mandibuzz,Dark,Flying,5,2,4,2,5,3,6,2,4,3,6,Big Pecks,Overcoat,Weak Armor,,,,Amateur,F
#631,Heatmor,Fire,,4,3,6,2,5,2,4,3,6,2,4,Gluttony,Flash Fire,White Smoke,,,,Amateur,
#632,Durant,Bug,Steel,4,3,6,3,6,3,6,2,4,2,4,Swarm,Hustle,Truant,,,,Amateur,
#633,Deino,Dark,Dragon,3,2,4,1,3,2,4,2,4,2,4,Hustle,,,,Yes,,Amateur,
#634,Zweilous,Dark,Dragon,4,2,5,2,4,2,5,2,4,2,5,Hustle,,,,Yes,,Ace,
#635,Hydreigon,Dark,Dragon,5,3,6,3,6,2,5,3,7,2,4,Levitate,,,,,Yes,Pro,
#636,Larvesta,Bug,Fire,3,2,5,2,4,2,4,2,4,2,4,Flame Body,,Swarm,,Yes,,Amateur,
#637,Volcarona,Bug,Fire,4,2,4,3,6,2,4,3,7,3,6,Flame Body,,Swarm,,,,Ace,
#638,Cobalion,Steel,Fighting,4,5,5,6,6,7,7,5,5,5,5,Justified,,,,,,Master,N
#639,Terrakion,Rock,Fighting,4,7,7,6,6,5,5,5,5,5,5,Justified,,,,,,Master,N
#640,Virizion,Grass,Fighting,4,5,5,6,6,5,5,7,7,5,5,Justified,,,,,,Master,N
#641,Tornadus,Flying,,4,6,6,6,6,5,5,7,7,5,5,Prankster,,Defiant,,,Yes,Master,M
#641,Form Tornadus,Flying,,4,6,6,7,7,5,5,6,6,5,5,Regenerator,,,,,,Master,M
#642,Thundurus,Electric,Flying,4,6,6,6,6,5,5,7,7,5,5,Prankster,,Defiant,,,Yes,Master,M
#642,FormThundurus,Electric,Flying,4,6,6,6,6,5,5,8,8,5,5,Prankster,,Defiant,,,,Master,M
#643,Reshiram,Dragon,Fire,5,7,7,5,5,6,6,8,8,7,7,Turboblaze,,,,,,Master,N
#644,Zekrom,Dragon,Electric,5,8,8,5,5,7,7,7,7,6,6,Teravolt,,,,,,Master,N
#645,Landorus,Ground,Flying,4,7,7,6,6,5,5,6,6,5,5,Sand Force,,Sheer Force,,,Yes,Master,M
#645,Form Landorus,Ground,Flying,4,8,8,5,5,5,5,6,6,5,5,Sand Force,,Sheer Force,,,,Master,M
#646,Kyurem,Dragon,Ice,6,7,7,6,6,5,5,7,7,5,5,Pressure,,,,,,Master,N
#646,Black Kyurem,Dragon,Ice,6,9,9,6,6,6,6,7,7,5,5,Pressure,,,,,,Master,N
#646,White Kyurem,Dragon,Ice,6,7,7,6,6,5,5,9,9,6,6,Pressure,,,,,,Master,N
#647,Keldeo,Water,Fighting,4,5,5,6,6,5,5,7,7,5,5,Justified,,,,,,Master,N
#647,Form Keldeo,Water,Fighting,4,6,6,6,6,6,6,7,7,5,5,Justified,,,,,,Master,N
#648,Meloetta,Normal,Psychic,5,5,5,5,5,5,5,7,7,7,7,Serene Grace,,,,,Yes,Master,N
#648,Form Meloetta,Normal,Fighting,5,7,7,7,7,5,5,5,5,5,5,Serene Grace,,,,,,Master,N
#649,Genesect,Bug,Steel,4,7,7,6,6,6,6,7,7,6,6,Download,,,,,,Master,N
#650,Chespin,Grass,,3,2,4,1,3,2,4,2,4,2,4,Overgrow,,Bulletproof,,Yes,,Starter,
#651,Quilladin,Grass,,4,2,5,2,4,3,6,2,4,2,4,Overgrow,,Bulletproof,,Yes,,Amateur,
#652,Chesnaught,Grass,Fighting,5,3,6,2,4,3,7,2,5,2,5,Overgrow,,Bulletproof,,,,Ace,
#653,Fennekin,Fire,,3,2,4,2,4,1,3,2,4,2,4,Blaze,,Magician,,Yes,,Starter,
#654,Braixen,Fire,,4,2,4,2,5,2,4,2,5,2,5,Blaze,,Magician,,Yes,,Amateur,
#655,Delphox,Fire,Psychic,5,2,5,3,6,2,5,3,6,3,6,Blaze,,Magician,,,,Ace,
#656,Froakie,Water,,3,2,4,2,5,1,3,2,4,1,3,Torrent,,Protean,,Yes,,Beginner,
#657,Frogadier,Water,,4,2,4,3,6,2,4,2,5,2,4,Torrent,,Protean,,Yes,,Amateur,
#658,Greninja,Water,Dark,5,3,6,3,7,2,4,3,6,2,5,Torrent,,Protean,Battle Bond,,Yes,Ace,
#659,Bunnelby,Normal,,3,1,3,2,4,1,3,1,3,1,3,Pickup,Cheer Pouch,Huge Power,,Yes,,Beginner,
#660,Diggersby,Normal,Ground,4,2,4,2,5,2,5,2,4,2,5,Pickup,Cheer Pouch,Huge Power,,,,Amateur,
#661,Fletchling,Normal,Flying,3,2,4,2,4,1,3,1,3,1,3,Big Pecks,,Gale Wings,,Yes,,Starter,
#662,Fletchinder,Fire,Flying,4,2,5,2,5,2,4,2,4,2,4,Flame Body,,Gale Wings,,Yes,,Beginner,
#663,Talonflame,Fire,Flying,5,2,5,3,7,2,5,2,5,2,4,Flame Body,,Gale Wings,,,,Amateur,
#664,Scatterbug,Bug,,3,1,3,1,3,1,3,1,3,1,3,Shield Dust,Compound Eyes,Friend Guard,,Yes,,Starter,
#665,Spewpa,Bug,,4,1,3,1,3,2,4,1,3,1,3,Shed Skin,,Friend Guard,,Yes,,Beginner,
#666,Vivillon,Bug,Flying,5,2,4,2,5,2,4,2,5,2,4,Shield Dust,Compound Eyes,Friend Guard,,,,Amateur,
#667,Litleo,Fire,Normal,3,2,4,2,5,2,4,2,5,2,4,Rivalry,Unnerve,Moxie,,Yes,,Amateur,
#668,Pyroar,Fire,Normal,5,2,4,3,6,2,5,3,6,2,4,Rivalry,Unnerve,Moxie,,,,Ace,
#669,Flabebe,Fairy,,3,1,3,1,3,1,3,2,4,2,5,Flower Veil,,Symbiosis,,Yes,,Starter,F
#670,Floette,Fairy,,4,2,4,2,4,2,4,2,5,3,6,Flower Veil,,Symbiosis,,Yes,,Beginner,F
#671,Florges,Fairy,,5,2,4,2,5,2,4,3,6,3,7,Flower Veil,,Symbiosis,,,,Amateur,F
#672,Skiddo,Grass,,3,2,4,2,4,2,4,2,4,2,4,Sap Sipper,,Grass Pelt,,Yes,,Beginner,
#673,Gogoat,Grass,,6,3,6,2,4,2,4,2,5,2,4,Sap Sipper,,Grass Pelt,,,,Amateur,
#674,Pancham,Fighting,,3,2,5,1,3,2,4,2,4,2,4,Iron Fist,Mold Breaker,Scrappy,,Yes,,Beginner,
#675,Pangoro,Fighting,Dark,5,3,7,2,4,2,5,2,4,2,5,Iron Fist,Mold Breaker,Scrappy,,,,Ace,
#676,Furfrou,Normal,,4,2,5,3,6,2,4,2,4,2,5,Fur Coat,,,,,,Amateur,
#677,Espurr,Psychic,,3,2,4,2,4,2,4,2,4,2,4,Keen Eye,Infiltrator,Own Tempo,,Yes,,Beginner,
#678,Meowstic,Psychic,,4,2,4,3,6,2,5,2,5,2,5,Keen Eye,Infiltrator,Prankster,,,,Amateur,
#679,Honedge,Steel,Ghost,3,2,5,1,3,3,6,1,3,1,3,No Guard,,,,Yes,,Amateur,
#680,Doublade,Steel,Ghost,4,3,6,1,3,4,8,2,4,2,4,No Guard,,,,Yes,,Ace,
#681,Aegislash,Steel,Ghost,5,2,4,1,3,4,8,2,4,4,8,Stance Change,,,,,Yes,Pro,
#681,Form Aegislash,Steel,Ghost,5,4,8,1,3,2,4,4,8,2,4,Stance Change,,,,,,Pro,
#682,Spritzee,Fairy,,3,2,4,1,3,2,4,2,4,2,4,Healer,,Aroma Veil,,Yes,,Beginner,
#683,Aromatisse,Fairy,,5,2,5,1,3,2,5,3,6,2,5,Healer,,Aroma Veil,,,,Amateur,
#684,Swirlix,Fairy,,3,2,4,2,4,2,4,2,4,2,4,Sweet Veil,,Unburden,,Yes,,Beginner,
#685,Slurpuff,Fairy,,4,2,5,2,5,2,5,2,5,2,5,Sweet Veil,,Unburden,,,,Amateur,
#686,Inkay,Dark,Psychic,3,2,4,2,4,2,4,1,3,2,4,Contrary,Suction Cups,Infiltrator,,Yes,,Beginner,
#687,Malamar,Dark,Psychic,4,2,5,2,5,2,5,2,4,2,5,Contrary,Suction Cups,Infiltrator,,,,Amateur,
#688,Binacle,Rock,Water,3,2,4,2,4,2,4,1,3,2,4,Sniper,Tough Claws,Pickpocket,,Yes,,Beginner,
#689,Barbaracle,Rock,Water,4,3,6,2,4,3,6,2,4,2,5,Sniper,Tough Claws,Pickpocket,,,,Amateur,
#690,Skrelp,Poison,Water,3,2,4,1,3,2,4,2,4,2,4,Poison Point,Poison Touch,Adaptibility,,Yes,,Beginner,
#691,Dragalge,Poison,Dragon,6,2,5,2,4,2,5,3,6,3,7,Poison Point,Poison Touch,Adaptibility,,,,Pro,
#692,Clauncher,Water,,3,2,4,1,3,2,4,2,4,2,4,Mega Launcher,,,,Yes,,Beginner,
#693,Clawitzer,Water,,4,2,5,2,4,2,5,3,7,2,5,Mega Launcher,,,,,,Amateur,
#694,Helioptile,Electric,Normal,3,1,3,2,5,1,3,2,4,1,3,Dry Skin,Sand Veil,Solar Power,,Yes,,Beginner,
#695,Heliolisk,Electric,Normal,4,2,4,3,6,2,4,3,6,2,5,Dry Skin,Sand Veil,Solar Power,,,,Amateur,
#696,Tyrunt,Rock,Dragon,3,2,5,2,4,2,5,2,4,2,4,Strong Jaw,,Sturdy,,Yes,,Amateur,
#697,Tyrantrum,Rock,Dragon,4,3,7,2,5,3,7,2,4,2,4,Strong Jaw,,Rock Head,,,,Master,
#698,Amaura,Rock,Ice,3,2,4,2,4,2,4,2,4,2,4,Refrigerate,,Snow Warning,,Yes,,Beginner,
#699,Aurorus,Rock,Ice,6,2,5,2,4,2,5,3,6,2,5,Refrigerate,,Snow Warning,,,,Ace,
#700,Sylveon,Fairy,,4,2,4,2,4,2,4,3,6,3,7,Cute Charm,,Pixilate,,,,Amateur,
#701,Hawlucha,Fighting,Flying,4,2,5,3,6,2,5,2,5,2,4,Limber,Unburden,Mold Breaker,,,,Amateur,
#702,Dedenne,Electric,Fairy,4,2,4,3,6,2,4,2,5,2,4,Cheek Pouch,Pickup,Plus,,,,Starter,
#703,Carbink,Rock,Fairy,4,2,4,2,4,3,7,2,4,3,7,Clear Body,,Sturdy,,,,Starter,N
#704,Goomy,Dragon,,3,2,4,1,3,1,3,2,4,2,5,Sap Sipper,Hydration,Gooey,,Yes,,Starter,
#705,Sliggoo,Dragon,,4,2,5,2,4,2,4,2,5,3,6,Sap Sipper,Hydration,Gooey,,Yes,,Beginner,
#706,Goodra,Dragon,,5,3,6,2,5,2,5,3,6,3,7,Sap Sipper,Hydration,Gooey,,,,Amateur,
#707,Klefki,Steel,Fairy,4,2,5,2,5,2,5,2,5,2,5,Prankster,,Magician,,,,Amateur,
#708,Phantump,Ghost,Grass,3,2,5,1,3,2,4,2,4,2,4,Natural Cure,Frisk,Harvest,,Yes,,Beginner,
#709,Trevenant,Ghost,Grass,5,3,6,2,4,2,5,2,4,2,5,Natural Cure,Frisk,Harvest,,,,Pro,
#710,Pumpkaboo,Ghost,Grass,3,2,4,2,4,2,5,2,4,2,4,Pickup,Frisk,Insomnia,,Yes,,Beginner,
#711,Gourgeist,Ghost,Grass,4,2,5,2,5,3,7,2,4,2,5,Pickup,Frisk,Insomnia,,,,Amateur,
#712,Bergmite,Ice,,3,2,4,1,3,2,5,1,3,1,3,Own Tempo,Ice Body,Sturdy,,Yes,,Beginner,
#713,Avalugg,Ice,,4,3,6,1,3,4,9,1,3,1,3,Own Tempo,Ice Body,Sturdy,,,,Ace,
#714,Noibat,Flying,Dragon,3,1,3,2,4,1,3,2,4,1,3,Frisk,Infiltrator,Telepathy,,Yes,,Amateur,
#715,Noivern,Flying,Dragon,4,2,5,3,7,2,5,3,6,2,5,Frisk,Infiltrator,Telepathy,,,,Pro,
#716,Xerneas,Fairy,,6,7,7,6,6,6,6,7,7,6,6,Fairy Aura,,,,,,Master,N
#717,Yveltal,Dark,Flying,8,7,7,6,6,6,6,7,7,6,6,Dark Aura,,,,,,Master,N
#718,Zygarde Cell,Dragon,Ground,1,1,1,1,1,1,1,1,1,1,1,Power Construct,,,,,Yes,Starter,N
#718,Zygarde 10%,Dragon,Ground,4,6,6,6,6,5,5,4,4,5,5,Aura Break,Power Construct,,,,,Pro,N
#718,Zygarde 50%,Dragon,Ground,5,6,6,6,6,7,7,5,5,6,6,Aura Break,Power Construct,,,,,Master,N
#718,Zygarde 100%,Dragon,Ground,11,6,6,5,5,7,7,5,5,6,6,Aura Break,,,,,,Master,N
#719,Diancie,Rock,Fairy,4,6,6,4,4,8,8,6,6,8,8,Clear Body,,,,,,Pro,N
#719,Mega-Diancie,Rock,Fairy,5,8,8,6,6,6,6,8,8,6,6,Magic Bounce,,,,,,Pro,N
#720,Hoopa,Psychic,Ghost,4,6,6,5,5,4,4,8,8,7,7,Magician,,,,,Yes,Pro,N
#720,Hoopa Unbound,Psychic,Dark,7,8,8,5,5,4,4,9,9,7,7,Magician,,,,,,Master,N
#721,Volcanion,Fire,Water,4,6,6,5,5,7,7,7,7,5,5,Water Absorb,,,,,,Pro,N
#722,Rowlet,Grass,Flying,3,2,4,1,3,2,4,2,4,2,4,Overgrow,,Long Reach,,Yes,,Starter,
#723,Dartrix,Grass,Flying,4,2,5,2,4,2,5,2,5,2,5,Overgrow,,Long Reach,,Yes,,Amateur,
#724,Decidueye,Grass,Ghost,5,3,6,2,5,2,5,3,6,3,6,Overgrow,,Long Reach,,,,Ace,
#725,Litten,Fire,,3,2,4,2,5,1,3,2,4,1,3,Blaze,,Intimidate,,Yes,,Starter,
#726,Torracat,Fire,,4,2,5,2,5,2,4,2,5,2,4,Blaze,,Intimidate,,Yes,,Amateur,
#727,Incineroar,Fire,Dark,6,3,7,2,4,2,5,2,5,2,5,Blaze,,Intimidate,,,,Ace,
#728,Popplio,Water,,3,2,4,1,3,2,4,2,4,2,4,Torrent,,Liquid Voice,,Yes,,Starter,
#729,Brionne,Water,,4,2,4,2,4,2,4,2,5,2,5,Torrent,,Liquid Voice,,Yes,,Amateur,
#730,Primarina,Water,Fairy,5,2,5,2,4,2,5,3,7,3,6,Torrent,,Liquid Voice,,,,Ace,
#731,Pikipek,Normal,Flying,3,2,5,2,4,1,3,1,3,1,3,Keen Eye,Skill Link,Pickup,,Yes,,Starter,
#732,Trumbeak,Normal,Flying,4,2,5,2,5,2,4,1,3,2,4,Keen Eye,Skill Link,Pickup,,Yes,,Beginner,
#733,Toucannon,Normal,Flying,5,3,7,2,4,2,5,2,5,2,5,Keen Eye,Skill Link,Sheer Force,,,,Amateur,
#734,Yungoos,Normal,,3,2,5,2,4,1,3,1,3,1,3,Stakeout,Strong Jaw,Adaptibility,,Yes,,Beginner,
#735,Gumshoos,Normal,,4,3,6,2,4,2,4,2,4,2,4,Stakeout,Strong Jaw,Adaptibility,,,,Amateur,
#736,Grubbin,Bug,,3,2,4,2,4,2,4,2,4,2,4,Swarm,,,,Yes,,Starter,
#737,Charjabug,Bug,Electric,4,2,5,1,3,3,6,2,4,2,5,Battery,,,,Yes,,Beginner,
#738,Vikavolt,Bug,Electric,5,2,5,1,3,2,5,4,8,2,5,Levitate,,,,,,Amateur,
#739,Crabrawler,Fighting,,3,2,5,2,4,2,4,1,3,2,4,Hyper Cutter,Iron Fist,Anger Point,,Yes,,Amateur,
#740,Crabominable,Fighting,Ice,4,3,7,2,4,2,5,2,4,2,4,Hyper Cutter,Iron Fist,Anger Point,,,,Ace,
#741,Oricorio Fire,Fire,Flying,4,2,5,3,6,2,5,3,6,2,5,Dancer,,,,,Yes,Beginner,
#741,Oricorio Electric,Electric,Flying,4,2,5,3,6,2,5,3,6,2,5,Dancer,,,,,Yes,Beginner,
#741,Oricorio Psychic,Psychic,Flying,4,2,5,3,6,2,5,3,6,2,5,Dancer,,,,,Yes,Beginner,
#741,Oricorio Ghost,Ghost,Flying,4,2,5,3,6,2,5,3,6,2,5,Dancer,,,,,Yes,Beginner,
#742,Cutiefly,Bug,Fairy,3,2,4,2,5,1,3,2,4,1,3,Honey Gather,Shield Dust,Sweet Veil,,Yes,,Starter,
#743,Ribombee,Bug,Fairy,4,2,4,3,7,2,4,3,6,2,5,Honey Gather,Shield Dust,Sweet Veil,,,,Beginner,
#744,Rockruff,Rock,,3,2,4,2,4,1,3,1,3,1,3,Keen Eye,Vital Spirit,Steadfast,Own Tempo,Yes,,Beginner,
#745,Lycanroc Midday,Rock,,4,3,6,3,6,2,4,2,4,2,4,Keen Eye,Sand Rush,Steadfast,,,Yes,Amateur,
#745,Lycanroc Dusk,Rock,,4,3,6,3,6,2,4,2,4,2,4,Keen Eye,Sand Rush,Steadfast,,,Yes,Amateur,
#745,Lycanroc Midnight,Rock,,4,3,6,2,5,2,5,2,4,2,5,Keen Eye,Sand Rush,Steadfast,,,Yes,Amateur,
#746,Wishiwashi,Water,,4,1,3,2,4,1,3,1,3,1,3,Schooling,,,,,Yes,Starter,
#746,Wishiwashi Swarm,Water,,8,3,7,1,3,3,7,3,7,3,7,Schooling,,,,,,Pro,
#747,Mareanie,Poison,Water,3,2,4,2,4,2,4,1,3,2,4,Merciless,Limber,Regenerator,,Yes,,Beginner,
#748,Toxapex,Poison,Water,4,2,4,1,3,3,7,2,4,3,6,Merciless,Limber,Regenerator,,,,Amateur,
#749,Mudbray,Ground,,3,3,6,2,4,2,5,2,4,2,4,Own Tempo,Stamina,Inner Focus,,Yes,,Beginner,
#750,Mudsdale,Ground,,5,3,7,1,3,3,6,2,4,2,5,Own Tempo,Stamina,Inner Focus,,,,Amateur,
#751,Dewpider,Water,Bug,3,1,3,1,3,2,4,1,3,2,5,Water Bubble,,Water Absorb,,Yes,,Starter,
#752,Araquanid,Water,Bug,4,2,5,1,3,3,6,2,4,3,7,Water Bubble,,Water Absorb,,,,Amateur,
#753,Fomantis,Grass,,3,2,4,1,3,1,3,2,4,1,3,Leaf Guard,,Contrary,,Yes,,Starter,
#754,Lurantis,Grass,,4,3,6,2,4,2,5,2,5,2,5,Leaf Guard,,Contrary,,,,Beginner,
#755,Morelull,Grass,Fairy,3,1,3,1,2,2,4,2,4,2,5,Illuminate,Effect Spore,Rain Dish,,Yes,,Starter,
